temperature,humidity,motion,light,gas,aqi,sound,risk,timestamp
34,48,0,Dark,1213,3161,High,Danger,2026-05-11 02:14:12
22,41,0,Bright,858,213,Low,Normal,2026-05-11 02:15:12
37,42,1,Bright,2061,1597,Medium,Warning,2026-05-11 02:16:12
37,71,1,Bright,1934,2507,Low,Danger,2026-05-11 02:17:12
44,50,0,Dim,3462,520,Low,Warning,2026-05-11 02:18:12
24,34,0,Dim,1118,455,High,Normal,2026-05-11 02:19:12
45,85,1,Dim,3457,2119,High,Danger,2026-05-11 02:20:12
26,80,0,Bright,2485,3361,Low,Warning,2026-05-11 02:21:12
31,88,1,Bright,2879,686,High,Warning,2026-05-11 02:22:12
29,39,0,Dark,1707,2968,High,Warning,2026-05-11 02:23:12
41,68,1,Bright,1904,2519,Medium,Danger,2026-05-11 02:24:12
44,82,1,Dark,325,1397,High,Warning,2026-05-11 02:25:12
21,76,1,Bright,3053,258,Medium,Warning,2026-05-11 02:26:12
32,46,0,Dim,3343,1431,High,Warning,2026-05-11 02:27:12
20,73,1,Dim,2038,2683,High,Danger,2026-05-11 02:28:12
31,67,1,Bright,1739,1247,High,Warning,2026-05-11 02:29:12
36,76,0,Dim,1727,2833,Low,Warning,2026-05-11 02:30:12
29,94,0,Dark,3371,3108,High,Danger,2026-05-11 02:31:12
38,95,0,Dim,3015,3006,Low,Danger,2026-05-11 02:32:12
32,72,0,Bright,3144,662,High,Warning,2026-05-11 02:33:12
27,66,0,Dim,2943,3472,Medium,Warning,2026-05-11 02:34:12
39,90,1,Bright,2470,2318,High,Danger,2026-05-11 02:35:12
43,64,1,Dim,902,3224,Medium,Warning,2026-05-11 02:36:12
37,54,1,Dim,2858,3318,Low,Danger,2026-05-11 02:37:12
30,76,0,Dim,2071,2726,Low,Warning,2026-05-11 02:38:12
25,78,0,Dark,1407,2813,Medium,Warning,2026-05-11 02:39:12
22,45,1,Dark,1313,1707,Medium,Warning,2026-05-11 02:40:12
32,79,1,Bright,1629,3215,High,Danger,2026-05-11 02:41:12
39,71,0,Dark,3419,839,High,Danger,2026-05-11 02:42:12
41,55,0,Bright,2308,3431,High,Danger,2026-05-11 02:43:12
40,31,1,Dark,855,2377,Low,Warning,2026-05-11 02:44:12
37,45,1,Bright,1507,3336,High,Danger,2026-05-11 02:45:12
45,76,0,Bright,3438,1949,High,Danger,2026-05-11 02:46:12
44,80,1,Bright,504,3143,Low,Warning,2026-05-11 02:47:12
27,54,1,Bright,2855,2429,High,Warning,2026-05-11 02:48:12
20,77,1,Bright,2439,3062,Medium,Danger,2026-05-11 02:49:12
44,51,0,Bright,3348,1820,High,Danger,2026-05-11 02:50:12
45,69,1,Dark,180,627,Medium,Warning,2026-05-11 02:51:12
35,38,0,Bright,1095,2487,High,Warning,2026-05-11 02:52:12
26,79,0,Dark,1432,719,High,Warning,2026-05-11 02:53:12
32,42,1,Dim,1637,449,High,Warning,2026-05-11 02:54:12
41,42,0,Dark,1437,3307,Low,Danger,2026-05-11 02:55:12
33,57,1,Dark,2484,1378,High,Danger,2026-05-11 02:56:12
44,90,1,Dim,1805,231,High,Danger,2026-05-11 02:57:12
40,86,0,Dim,1262,3417,Medium,Danger,2026-05-11 02:58:12
20,58,1,Dim,856,2001,Medium,Warning,2026-05-11 02:59:12
28,40,0,Bright,3072,1619,Low,Warning,2026-05-11 03:00:12
32,91,1,Bright,2523,925,High,Danger,2026-05-11 03:01:12
31,63,1,Dim,2580,1800,High,Warning,2026-05-11 03:02:12
44,66,0,Bright,1068,1637,Medium,Warning,2026-05-11 03:03:12
24,74,0,Bright,2786,3101,High,Danger,2026-05-11 03:04:12
33,86,1,Dark,1814,1707,High,Danger,2026-05-11 03:05:12
39,37,1,Bright,2711,1074,Medium,Warning,2026-05-11 03:06:12
20,76,1,Dim,2673,2006,Medium,Warning,2026-05-11 03:07:12
36,51,1,Dim,430,1858,High,Warning,2026-05-11 03:08:12
30,44,0,Bright,451,2246,Medium,Normal,2026-05-11 03:09:12
21,64,0,Bright,1922,380,Medium,Normal,2026-05-11 03:10:12
39,80,1,Bright,1452,1341,Medium,Warning,2026-05-11 03:11:12
40,42,0,Dim,1417,508,Low,Warning,2026-05-11 03:12:12
29,68,0,Bright,998,782,Medium,Normal,2026-05-11 03:13:12
26,36,0,Bright,757,3368,Low,Warning,2026-05-11 03:14:12
21,50,1,Dark,3197,1542,Low,Warning,2026-05-11 03:15:12
28,60,0,Dark,2172,3127,Low,Warning,2026-05-11 03:16:12
23,30,0,Dark,1703,2062,High,Warning,2026-05-11 03:17:12
24,66,0,Dim,553,2302,High,Normal,2026-05-11 03:18:12
35,80,0,Bright,2727,1202,Medium,Warning,2026-05-11 03:19:12
36,52,1,Dim,2645,922,High,Warning,2026-05-11 03:20:12
23,43,1,Dark,1435,2504,Medium,Warning,2026-05-11 03:21:12
40,52,1,Bright,165,813,Medium,Warning,2026-05-11 03:22:12
31,90,0,Dark,1885,1506,Low,Warning,2026-05-11 03:23:12
31,88,1,Bright,1452,3238,Low,Danger,2026-05-11 03:24:12
30,91,1,Dim,110,3264,Medium,Warning,2026-05-11 03:25:12
24,35,0,Dark,1746,1055,High,Warning,2026-05-11 03:26:12
21,54,0,Dim,1681,800,Low,Normal,2026-05-11 03:27:12
45,95,0,Dim,1655,2764,High,Danger,2026-05-11 03:28:12
35,30,1,Bright,2473,1946,High,Danger,2026-05-11 03:29:12
23,30,1,Dark,2992,1161,Medium,Warning,2026-05-11 03:30:12
37,78,1,Dim,664,2367,Medium,Warning,2026-05-11 03:31:12
27,44,1,Bright,101,448,Medium,Normal,2026-05-11 03:32:12
32,67,0,Dark,2006,1874,Low,Warning,2026-05-11 03:33:12
23,56,0,Bright,227,1681,High,Normal,2026-05-11 03:34:12
29,77,1,Dim,1108,2071,Low,Warning,2026-05-11 03:35:12
21,47,1,Dark,1899,296,High,Warning,2026-05-11 03:36:12
33,44,0,Dim,883,1489,Medium,Normal,2026-05-11 03:37:12
44,63,0,Bright,3095,2588,High,Danger,2026-05-11 03:38:12
37,50,0,Dark,2226,1931,Low,Warning,2026-05-11 03:39:12
22,58,1,Bright,240,167,Medium,Normal,2026-05-11 03:40:12
32,56,1,Dark,619,568,High,Normal,2026-05-11 03:41:12
32,37,0,Dark,1442,1718,Low,Warning,2026-05-11 03:42:12
30,74,0,Dark,604,3348,Medium,Warning,2026-05-11 03:43:12
27,47,0,Dim,1776,715,Low,Normal,2026-05-11 03:44:12
26,70,0,Dark,3184,838,Medium,Warning,2026-05-11 03:45:12
32,78,0,Dark,3032,191,High,Warning,2026-05-11 03:46:12
22,55,0,Bright,2674,2070,Low,Warning,2026-05-11 03:47:12
41,53,0,Dark,3067,637,Low,Warning,2026-05-11 03:48:12
42,67,0,Dark,1776,271,High,Warning,2026-05-11 03:49:12
27,57,1,Dim,2010,2859,Medium,Warning,2026-05-11 03:50:12
26,77,1,Dim,3205,3126,Medium,Danger,2026-05-11 03:51:12
36,69,0,Bright,3244,2674,High,Danger,2026-05-11 03:52:12
24,81,0,Bright,2555,2256,Low,Warning,2026-05-11 03:53:12
29,75,0,Dim,3147,2114,High,Warning,2026-05-11 03:54:12
34,85,1,Dim,1849,814,High,Danger,2026-05-11 03:55:12
45,65,0,Dark,3484,1091,High,Danger,2026-05-11 03:56:12
43,78,1,Dim,506,3272,Medium,Warning,2026-05-11 03:57:12
27,58,0,Dark,2804,2870,High,Danger,2026-05-11 03:58:12
24,72,0,Dark,2379,3010,High,Danger,2026-05-11 03:59:12
28,88,0,Dark,666,3445,Low,Warning,2026-05-11 04:00:12
45,40,1,Bright,1616,3327,High,Danger,2026-05-11 04:01:12
29,44,0,Bright,986,2930,Low,Warning,2026-05-11 04:02:12
40,82,1,Dark,2167,1527,Low,Danger,2026-05-11 04:03:12
35,90,0,Dim,3046,3033,Low,Danger,2026-05-11 04:04:12
35,50,0,Dim,771,3269,Low,Warning,2026-05-11 04:05:12
43,84,0,Dark,2637,497,Medium,Warning,2026-05-11 04:06:12
23,45,0,Dark,542,2587,Low,Warning,2026-05-11 04:07:12
21,44,1,Dark,1589,1387,High,Warning,2026-05-11 04:08:12
37,64,0,Dark,1399,1427,Low,Warning,2026-05-11 04:09:12
24,80,1,Dim,1044,1975,High,Warning,2026-05-11 04:10:12
22,30,0,Dark,2330,592,Low,Warning,2026-05-11 04:11:12
22,60,0,Bright,2479,1363,Medium,Warning,2026-05-11 04:12:12
42,43,0,Dark,3220,1177,Medium,Warning,2026-05-11 04:13:12
35,38,1,Bright,723,597,High,Warning,2026-05-11 04:14:12
26,92,0,Dark,626,1348,Low,Warning,2026-05-11 04:15:12
37,90,0,Dark,537,1060,High,Warning,2026-05-11 04:16:12
31,90,1,Dark,677,3164,Medium,Warning,2026-05-11 04:17:12
32,60,1,Dark,2559,1284,High,Warning,2026-05-11 04:18:12
45,85,1,Dim,853,447,High,Warning,2026-05-11 04:19:12
45,71,0,Dim,307,1874,Medium,Warning,2026-05-11 04:20:12
26,37,0,Dim,3407,1574,High,Warning,2026-05-11 04:21:12
28,54,1,Dark,1587,3109,Low,Warning,2026-05-11 04:22:12
44,62,0,Dim,657,1143,Medium,Normal,2026-05-11 04:23:12
21,46,1,Dim,1339,3059,High,Warning,2026-05-11 04:24:12
23,39,0,Dark,519,802,High,Normal,2026-05-11 04:25:12
38,66,0,Dim,614,2237,High,Warning,2026-05-11 04:26:12
34,46,0,Bright,1347,328,High,Warning,2026-05-11 04:27:12
39,40,1,Bright,690,989,Low,Warning,2026-05-11 04:28:12
36,57,1,Bright,1068,740,Low,Warning,2026-05-11 04:29:12
45,74,0,Dim,2619,3193,Low,Danger,2026-05-11 04:30:12
25,53,1,Dim,2101,2646,Low,Warning,2026-05-11 04:31:12
21,78,1,Bright,2921,2830,Low,Danger,2026-05-11 04:32:12
21,45,1,Bright,933,1165,Low,Normal,2026-05-11 04:33:12
42,83,0,Dark,3280,1471,Low,Danger,2026-05-11 04:34:12
35,47,1,Bright,1124,3298,Medium,Warning,2026-05-11 04:35:12
25,71,0,Dark,498,1716,Medium,Warning,2026-05-11 04:36:12
39,33,0,Dim,1995,494,Medium,Warning,2026-05-11 04:37:12
38,85,1,Dim,353,2219,Low,Warning,2026-05-11 04:38:12
39,93,1,Bright,3034,671,Low,Danger,2026-05-11 04:39:12
39,68,1,Dark,123,3442,High,Danger,2026-05-11 04:40:12
26,68,0,Dark,1724,984,High,Warning,2026-05-11 04:41:12
33,69,1,Bright,2512,2135,High,Danger,2026-05-11 04:42:12
35,48,0,Dark,1498,1749,Medium,Warning,2026-05-11 04:43:12
39,38,1,Dim,2053,3375,Low,Danger,2026-05-11 04:44:12
26,35,1,Bright,307,3005,High,Warning,2026-05-11 04:45:12
32,39,0,Dim,1324,607,Medium,Normal,2026-05-11 04:46:12
30,33,1,Dark,2173,3280,High,Danger,2026-05-11 04:47:12
30,80,0,Dim,1197,3259,Low,Warning,2026-05-11 04:48:12
42,31,0,Bright,631,2408,Low,Warning,2026-05-11 04:49:12
20,52,0,Dark,2983,1172,High,Warning,2026-05-11 04:50:12
43,89,1,Dim,2612,482,Low,Danger,2026-05-11 04:51:12
23,39,1,Dim,2928,3045,Medium,Warning,2026-05-11 04:52:12
42,94,0,Bright,664,234,Medium,Warning,2026-05-11 04:53:12
40,70,1,Dim,1605,2754,High,Danger,2026-05-11 04:54:12
31,47,0,Dark,230,2716,High,Warning,2026-05-11 04:55:12
38,63,0,Bright,2732,2082,Medium,Warning,2026-05-11 04:56:12
39,85,0,Bright,1071,2513,Medium,Danger,2026-05-11 04:57:12
32,59,0,Bright,3407,2638,Medium,Warning,2026-05-11 04:58:12
20,46,0,Dark,2058,1237,Medium,Warning,2026-05-11 04:59:12
34,66,1,Dark,2193,146,Low,Warning,2026-05-11 05:00:12
35,69,0,Bright,1758,786,Low,Warning,2026-05-11 05:01:12
36,73,0,Dark,1431,3265,Low,Danger,2026-05-11 05:02:12
24,71,0,Bright,2756,2552,Low,Warning,2026-05-11 05:03:12
36,69,1,Dark,1545,882,Medium,Warning,2026-05-11 05:04:12
44,82,0,Bright,2026,3281,Medium,Danger,2026-05-11 05:05:12
40,81,1,Bright,1507,1341,Medium,Warning,2026-05-11 05:06:12
31,42,0,Dark,2310,3124,Low,Warning,2026-05-11 05:07:12
35,80,0,Dim,3489,1765,High,Danger,2026-05-11 05:08:12
35,46,0,Dark,848,3293,Medium,Warning,2026-05-11 05:09:12
42,47,0,Dim,1735,2491,Medium,Warning,2026-05-11 05:10:12
42,63,0,Bright,2541,3034,Medium,Danger,2026-05-11 05:11:12
44,31,1,Dim,1090,1443,Low,Warning,2026-05-11 05:12:12
43,80,0,Dark,2356,2215,High,Danger,2026-05-11 05:13:12
34,52,1,Bright,1859,2357,High,Warning,2026-05-11 05:14:12
34,95,0,Dark,2587,2098,High,Danger,2026-05-11 05:15:12
36,77,1,Dark,1182,1068,Low,Warning,2026-05-11 05:16:12
28,67,1,Dark,1008,2816,High,Warning,2026-05-11 05:17:12
23,48,1,Bright,1529,1268,High,Warning,2026-05-11 05:18:12
28,58,1,Bright,2420,1156,Low,Warning,2026-05-11 05:19:12
32,48,1,Dim,2661,2778,Low,Warning,2026-05-11 05:20:12
21,41,1,Bright,3241,253,High,Warning,2026-05-11 05:21:12
29,81,0,Dark,2622,2030,High,Danger,2026-05-11 05:22:12
29,84,1,Dim,2126,1065,Medium,Warning,2026-05-11 05:23:12
31,41,1,Dim,1840,3437,Low,Warning,2026-05-11 05:24:12
24,39,0,Dark,1286,3336,Low,Warning,2026-05-11 05:25:12
22,64,1,Dim,2712,3238,High,Danger,2026-05-11 05:26:12
30,48,1,Dim,3213,568,High,Warning,2026-05-11 05:27:12
33,70,1,Dark,1207,2795,Low,Danger,2026-05-11 05:28:12
30,63,1,Dark,2401,547,High,Warning,2026-05-11 05:29:12
43,65,0,Bright,1075,3048,Medium,Warning,2026-05-11 05:30:12
42,83,1,Bright,2061,646,Medium,Warning,2026-05-11 05:31:12
40,82,1,Dark,369,2414,Medium,Warning,2026-05-11 05:32:12
27,66,0,Dark,2797,1514,Medium,Warning,2026-05-11 05:33:12
21,59,0,Dark,2993,1335,High,Warning,2026-05-11 05:34:12
36,91,1,Dim,1009,1266,Low,Warning,2026-05-11 05:35:12
24,51,1,Bright,640,2782,Medium,Warning,2026-05-11 05:36:12
36,35,0,Dim,3181,577,High,Warning,2026-05-11 05:37:12
26,33,0,Dark,3278,668,Low,Warning,2026-05-11 05:38:12
34,38,1,Bright,2168,584,Low,Warning,2026-05-11 05:39:12
45,44,1,Dark,1158,2000,Low,Warning,2026-05-11 05:40:12
42,73,0,Dim,3306,1900,Medium,Danger,2026-05-11 05:41:12
31,52,0,Dark,777,886,High,Warning,2026-05-11 05:42:12
31,64,1,Dim,1424,1175,Medium,Warning,2026-05-11 05:43:12
31,89,0,Bright,3016,2383,Low,Warning,2026-05-11 05:44:12
24,90,0,Dim,605,3205,Medium,Warning,2026-05-11 05:45:12
32,71,1,Dark,2244,2358,Medium,Danger,2026-05-11 05:46:12
27,88,0,Bright,1261,2906,High,Danger,2026-05-11 05:47:12
42,61,1,Dark,545,883,High,Warning,2026-05-11 05:48:12
30,70,0,Dark,1683,2748,Medium,Warning,2026-05-11 05:49:12
32,56,1,Dim,3425,2225,Low,Warning,2026-05-11 05:50:12
42,52,1,Bright,1486,2720,High,Danger,2026-05-11 05:51:12
21,90,1,Dim,2528,3266,Medium,Danger,2026-05-11 05:52:12
43,73,0,Dark,2642,2470,High,Danger,2026-05-11 05:53:12
33,80,0,Dim,2500,846,Medium,Warning,2026-05-11 05:54:12
29,42,0,Bright,2634,3418,High,Warning,2026-05-11 05:55:12
44,81,1,Dark,1780,159,High,Danger,2026-05-11 05:56:12
31,52,0,Bright,589,2303,Medium,Normal,2026-05-11 05:57:12
29,57,0,Bright,2233,2362,Medium,Warning,2026-05-11 05:58:12
34,67,1,Bright,660,2341,High,Warning,2026-05-11 05:59:12
39,45,0,Bright,659,1382,Low,Normal,2026-05-11 06:00:12
35,54,0,Bright,1249,289,Medium,Normal,2026-05-11 06:01:12
44,31,0,Dark,3163,1502,Low,Danger,2026-05-11 06:02:12
28,50,1,Bright,3056,3377,High,Danger,2026-05-11 06:03:12
20,77,1,Bright,187,3035,High,Warning,2026-05-11 06:04:12
35,87,1,Dark,3094,368,Low,Danger,2026-05-11 06:05:12
32,83,1,Dim,3275,275,Medium,Warning,2026-05-11 06:06:12
37,44,1,Dim,1317,107,High,Warning,2026-05-11 06:07:12
32,52,0,Dim,3300,1388,Medium,Warning,2026-05-11 06:08:12
21,73,0,Bright,848,1337,Medium,Normal,2026-05-11 06:09:12
40,44,0,Bright,1740,2680,High,Danger,2026-05-11 06:10:12
20,87,1,Bright,713,1839,High,Warning,2026-05-11 06:11:12
35,77,1,Dim,2138,1633,High,Danger,2026-05-11 06:12:12
27,50,1,Dark,2178,2144,High,Danger,2026-05-11 06:13:12
35,48,0,Dim,2738,2260,Medium,Warning,2026-05-11 06:14:12
29,47,1,Bright,1901,2366,Medium,Warning,2026-05-11 06:15:12
33,47,1,Bright,1591,2785,High,Danger,2026-05-11 06:16:12
24,34,0,Dim,1160,396,High,Normal,2026-05-11 06:17:12
29,77,0,Dark,2729,1059,Low,Warning,2026-05-11 06:18:12
31,95,1,Bright,2652,1683,Low,Danger,2026-05-11 06:19:12
39,60,1,Dim,2820,2705,High,Danger,2026-05-11 06:20:12
39,64,0,Dim,2164,691,Low,Warning,2026-05-11 06:21:12
29,53,0,Dark,3358,819,Medium,Warning,2026-05-11 06:22:12
43,63,1,Bright,3192,787,Medium,Warning,2026-05-11 06:23:12
33,75,1,Bright,1941,3349,Low,Danger,2026-05-11 06:24:12
36,45,0,Bright,2560,634,Low,Warning,2026-05-11 06:25:12
42,60,0,Bright,2335,173,High,Warning,2026-05-11 06:26:12
27,33,0,Dark,1741,764,Low,Warning,2026-05-11 06:27:12
24,42,0,Dark,887,2984,Low,Warning,2026-05-11 06:28:12
42,65,0,Dim,2317,798,Low,Warning,2026-05-11 06:29:12
45,33,1,Dark,2622,3482,Medium,Danger,2026-05-11 06:30:12
24,76,1,Dark,2876,2128,Low,Danger,2026-05-11 06:31:12
34,80,0,Dim,3113,2922,Low,Danger,2026-05-11 06:32:12
30,94,0,Dim,1335,114,High,Warning,2026-05-11 06:33:12
23,79,1,Dark,2164,1474,Medium,Warning,2026-05-11 06:34:12
33,82,1,Bright,2938,1298,Medium,Warning,2026-05-11 06:35:12
30,31,1,Bright,561,1976,Low,Normal,2026-05-11 06:36:12
33,46,0,Bright,1783,486,Low,Normal,2026-05-11 06:37:12
45,42,0,Bright,1567,3120,High,Danger,2026-05-11 06:38:12
37,66,0,Bright,3478,1075,High,Warning,2026-05-11 06:39:12
24,79,0,Dim,1516,1613,Medium,Warning,2026-05-11 06:40:12
40,92,1,Bright,2263,1443,High,Danger,2026-05-11 06:41:12
32,36,1,Dark,1488,2643,Low,Warning,2026-05-11 06:42:12
23,78,0,Dark,2355,2480,Low,Warning,2026-05-11 06:43:12
31,66,1,Dark,3045,1656,Medium,Warning,2026-05-11 06:44:12
37,94,0,Bright,3487,3197,Medium,Danger,2026-05-11 06:45:12
24,56,0,Dark,2604,2236,Medium,Warning,2026-05-11 06:46:12
22,93,0,Dim,2651,942,Medium,Warning,2026-05-11 06:47:12
43,71,1,Dark,2714,2347,Medium,Danger,2026-05-11 06:48:12
36,64,1,Bright,2796,2968,Low,Danger,2026-05-11 06:49:12
42,46,0,Bright,1964,893,High,Warning,2026-05-11 06:50:12
41,88,0,Dim,2484,2697,Low,Danger,2026-05-11 06:51:12
25,65,1,Bright,1118,2319,Medium,Warning,2026-05-11 06:52:12
31,87,1,Bright,3398,1423,High,Danger,2026-05-11 06:53:12
42,94,0,Bright,3190,681,Medium,Warning,2026-05-11 06:54:12
44,38,1,Dark,1155,2415,Low,Warning,2026-05-11 06:55:12
42,40,1,Dark,3113,972,Medium,Danger,2026-05-11 06:56:12
37,35,1,Dim,2256,1020,Low,Warning,2026-05-11 06:57:12
30,95,0,Bright,2820,662,Low,Warning,2026-05-11 06:58:12
22,44,1,Dim,1259,2835,High,Warning,2026-05-11 06:59:12
32,33,0,Dim,2264,673,High,Warning,2026-05-11 07:00:12
23,75,0,Dim,195,681,High,Normal,2026-05-11 07:01:12
45,30,1,Dim,209,1097,Low,Warning,2026-05-11 07:02:12
34,88,1,Dark,1542,2547,Low,Danger,2026-05-11 07:03:12
23,44,0,Dark,2461,2556,Low,Warning,2026-05-11 07:04:12
42,63,1,Dim,3171,2671,Medium,Danger,2026-05-11 07:05:12
20,74,1,Bright,2199,726,Low,Warning,2026-05-11 07:06:12
40,85,0,Bright,411,477,Medium,Warning,2026-05-11 07:07:12
29,80,1,Dim,2842,3260,Low,Danger,2026-05-11 07:08:12
24,79,1,Bright,217,921,Medium,Normal,2026-05-11 07:09:12
36,75,1,Dark,3285,2030,High,Danger,2026-05-11 07:10:12
32,79,0,Dim,2745,1423,Medium,Warning,2026-05-11 07:11:12
31,71,0,Bright,2609,2404,Low,Warning,2026-05-11 07:12:12
27,53,1,Bright,288,1135,Low,Normal,2026-05-11 07:13:12
41,72,1,Dim,1850,1529,Medium,Danger,2026-05-11 07:14:12
28,35,1,Dark,2706,399,Low,Warning,2026-05-11 07:15:12
29,35,0,Bright,2400,3446,Low,Warning,2026-05-11 07:16:12
20,95,1,Dim,2534,1982,Low,Danger,2026-05-11 07:17:12
25,74,1,Dim,551,1241,Medium,Normal,2026-05-11 07:18:12
40,43,1,Dim,2363,2868,Medium,Danger,2026-05-11 07:19:12
25,93,1,Dim,1326,650,High,Warning,2026-05-11 07:20:12
39,87,0,Dim,3210,2734,Medium,Danger,2026-05-11 07:21:12
43,90,0,Dark,2881,3466,Medium,Danger,2026-05-11 07:22:12
27,36,0,Bright,2898,2232,Low,Warning,2026-05-11 07:23:12
25,66,1,Bright,304,1811,High,Warning,2026-05-11 07:24:12
39,77,0,Dim,1689,1723,Medium,Warning,2026-05-11 07:25:12
23,87,0,Bright,1625,962,Medium,Warning,2026-05-11 07:26:12
22,89,1,Bright,1948,470,Medium,Warning,2026-05-11 07:27:12
36,77,1,Dark,3453,3195,Low,Danger,2026-05-11 07:28:12
21,33,1,Bright,113,3364,Medium,Warning,2026-05-11 07:29:12
31,77,1,Bright,1710,1642,Medium,Warning,2026-05-11 07:30:12
30,46,0,Dark,2209,3379,Medium,Warning,2026-05-11 07:31:12
40,54,1,Bright,1465,440,Medium,Warning,2026-05-11 07:32:12
25,49,0,Dim,3344,429,Medium,Normal,2026-05-11 07:33:12
40,70,1,Bright,2499,1065,Medium,Danger,2026-05-11 07:34:12
40,75,0,Bright,1161,1695,Low,Warning,2026-05-11 07:35:12
21,95,0,Bright,1800,1348,High,Warning,2026-05-11 07:36:12
22,62,1,Dark,171,186,High,Normal,2026-05-11 07:37:12
35,49,1,Dim,3105,1132,Low,Warning,2026-05-11 07:38:12
40,53,0,Dark,2618,1492,Low,Warning,2026-05-11 07:39:12
30,85,0,Dark,1424,3185,Medium,Danger,2026-05-11 07:40:12
22,61,0,Dark,698,1133,Medium,Normal,2026-05-11 07:41:12
25,49,1,Dim,522,2966,Low,Warning,2026-05-11 07:42:12
28,65,0,Bright,2153,138,High,Warning,2026-05-11 07:43:12
21,64,0,Dark,2748,2145,Medium,Warning,2026-05-11 07:44:12
34,75,1,Dark,2579,2114,Medium,Danger,2026-05-11 07:45:12
27,91,0,Bright,1135,2210,High,Warning,2026-05-11 07:46:12
21,32,0,Dim,428,1181,High,Normal,2026-05-11 07:47:12
28,49,0,Dim,2747,1772,Low,Warning,2026-05-11 07:48:12
22,56,0,Bright,3019,732,Medium,Warning,2026-05-11 07:49:12
27,32,1,Dark,502,1783,Low,Warning,2026-05-11 07:50:12
27,61,1,Dark,1466,204,Medium,Warning,2026-05-11 07:51:12
26,42,1,Dark,752,1707,High,Warning,2026-05-11 07:52:12
45,47,0,Dim,662,108,Low,Normal,2026-05-11 07:53:12
34,83,0,Bright,511,430,High,Normal,2026-05-11 07:54:12
45,74,1,Bright,1000,2618,Medium,Danger,2026-05-11 07:55:12
24,90,0,Bright,3049,446,Low,Warning,2026-05-11 07:56:12
32,87,1,Bright,3277,119,Low,Warning,2026-05-11 07:57:12
28,87,0,Bright,424,471,Low,Normal,2026-05-11 07:58:12
33,59,1,Dark,450,1623,High,Warning,2026-05-11 07:59:12
39,56,0,Bright,3261,2103,High,Danger,2026-05-11 08:00:12
36,58,1,Bright,2146,3341,Medium,Danger,2026-05-11 08:01:12
20,39,1,Dim,2519,2157,High,Warning,2026-05-11 08:02:12
37,35,0,Dim,2832,2282,Medium,Warning,2026-05-11 08:03:12
44,80,0,Bright,541,1073,Medium,Warning,2026-05-11 08:04:12
21,87,1,Dark,3383,2412,Low,Danger,2026-05-11 08:05:12
44,64,1,Dark,3240,1411,Low,Danger,2026-05-11 08:06:12
30,38,1,Dim,732,2262,Low,Warning,2026-05-11 08:07:12
40,84,1,Dark,903,199,Low,Warning,2026-05-11 08:08:12
23,81,0,Dark,2249,3089,Low,Danger,2026-05-11 08:09:12
26,61,1,Dark,895,1466,Low,Warning,2026-05-11 08:10:12
30,36,0,Dim,553,2011,Low,Normal,2026-05-11 08:11:12
26,77,0,Dim,1729,1792,High,Warning,2026-05-11 08:12:12
44,88,0,Dim,402,1695,Medium,Warning,2026-05-11 08:13:12
32,87,0,Bright,2779,1504,Low,Warning,2026-05-11 08:14:12
38,64,1,Bright,3099,2660,High,Danger,2026-05-11 08:15:12
44,46,1,Dark,1717,3381,Low,Danger,2026-05-11 08:16:12
31,79,0,Bright,3294,284,High,Warning,2026-05-11 08:17:12
34,58,0,Dark,3024,1224,Medium,Warning,2026-05-11 08:18:12
39,53,1,Dark,2214,3269,Low,Danger,2026-05-11 08:19:12
22,71,1,Bright,2013,1023,High,Warning,2026-05-11 08:20:12
27,80,0,Dark,2042,1270,High,Warning,2026-05-11 08:21:12
31,92,0,Bright,2408,3158,Medium,Danger,2026-05-11 08:22:12
44,75,0,Dim,3044,2657,High,Danger,2026-05-11 08:23:12
41,58,0,Bright,2534,2574,Low,Danger,2026-05-11 08:24:12
34,72,1,Dim,2481,2726,High,Danger,2026-05-11 08:25:12
41,95,0,Bright,3137,2321,High,Danger,2026-05-11 08:26:12
36,73,0,Bright,349,2414,High,Warning,2026-05-11 08:27:12
45,94,1,Dark,1361,2196,Low,Danger,2026-05-11 08:28:12
35,81,1,Bright,1856,2821,High,Danger,2026-05-11 08:29:12
26,77,1,Dim,2978,540,Low,Warning,2026-05-11 08:30:12
31,55,1,Dark,874,605,Low,Normal,2026-05-11 08:31:12
21,73,1,Dark,2552,2836,Low,Danger,2026-05-11 08:32:12
32,69,1,Dark,3076,1190,High,Warning,2026-05-11 08:33:12
39,39,0,Dark,610,717,Low,Warning,2026-05-11 08:34:12
28,39,1,Dim,891,3032,Low,Warning,2026-05-11 08:35:12
24,53,0,Dim,706,3197,High,Warning,2026-05-11 08:36:12
24,56,0,Bright,1740,2599,High,Warning,2026-05-11 08:37:12
26,87,0,Dim,918,181,Low,Normal,2026-05-11 08:38:12
27,92,0,Bright,2455,937,Low,Warning,2026-05-11 08:39:12
33,68,1,Dim,2196,1295,High,Warning,2026-05-11 08:40:12
43,70,1,Bright,2859,318,Low,Warning,2026-05-11 08:41:12
26,30,0,Dark,1162,1091,High,Warning,2026-05-11 08:42:12
37,85,0,Bright,3183,2320,Medium,Danger,2026-05-11 08:43:12
39,63,1,Bright,176,3227,Medium,Warning,2026-05-11 08:44:12
22,53,0,Bright,2541,256,High,Warning,2026-05-11 08:45:12
23,58,1,Dim,1128,2743,High,Warning,2026-05-11 08:46:12
